XLSTAT 2019.4.2.12345 - ANOVA - Start time: 2020-12-03 at 09:32:26 / End time: 2020-12-03 at 09:32:45 / Microsoft Excel 16.431108,,,,,,,,,,,
Y / Dependent variables: Workbook = frogs.csv / Sheet = frogs / Range = frogs!$A:$A / 3272 rows and 1 column,,,,,,,,,,,
X / Qualitative: Workbook = frogs.csv / Sheet = frogs / Range = 'frogs'!$E:$E / 3272 rows and 1 column,,,,,,,,,,,
Constraints: an=0,,,,,,,,,,,
Confidence interval (%): 95,,,,,,,,,,,
Tolerance: 0.0001,,,,,,,,,,,
Use least squares means: Yes,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Summary statistics (Quantitative data):,,,,,,,,,,,
,,,,,,,,,,,
Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,
distance,3272,0,3272,0,220,124,52,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Summary statistics (Qualitative data):,,,,,,,,,,,
,,,,,,,,,,,
Variable,Categories,Counts,Frequencies,%,,,,,,,
frog_type-individual,-0.00678,0.02245,-0.30204,0.76264,-0.05081,0.03724,,,,,
frog_type-pro,0.30441,0.04285,7.10369,< 0.0001,0.22039,0.38843,,,,,
frog_type-rental,-0.13646,0.04097,-3.33044,0.00088,-0.21679,-0.05612,,,,,
frog_type-unknown,0.00000,0.00000,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,, ,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Predictions and residuals (distance):,,,,,,,,,,,
,,,,,,,,,,,
Observation,Weight,distance,Pred(distance),Residual,Std. residual,Std. dev. on pred. (Mean),Lower bound 95% (Mean),Upper bound 95% (Mean),Std. dev. on pred. (Observation),Lower bound 95% (Observation),Upper bound 95% (Observation)
